,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1262,41529465,https://www.airbnb.com/rooms/41529465,20240905174946,2024-09-06,previous scrape,Spacious family apartment in Old South,"We live in a spacious four-bedroom family apartment with three balconies and a roof-terrace in Amsterdam Old South (2nd, 3rd and 4th floor). The apartment is very light, newly renovated and we have been living here with great pleasure since 2017 (215m2)!","Amsterdam Old South is a very nice and charming neighborhood and the top musea, the Vondelpark, lovely coffee places, best stores/boutiques etc are very near to our house (walking distance).",https://a0.muscache.com/pictures/ff7b1524-7583-4843-98d7-be2aff16062d.jpg,35022522,https://www.airbnb.com/users/show/35022522,Bas,2015-06-04,,,,,,f,https://a0.muscache.com/im/pictures/user/e6c3b0da-fb34-4150-9b03-aeb31c22d815.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e6c3b0da-fb34-4150-9b03-aeb31c22d815.jpg?aki_policy=profile_x_medium,Stadionbuurt,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Zuid,,52.34819,4.86944,Entire rental unit,Entire home/apt,6,,3 baths,4.0,,"[""Dishes and silverware"", ""Air conditioning"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Washer"", ""Heating"", ""TV"", ""Indoor fireplace"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Dryer"", ""Hot water""]",,3,9,3.0,3.0,9.0,9.0,3.0,9.0,,t,0,0,0,0,2024-09-06,1,0,0,2020-02-20,2020-02-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 11E8 B310 D2D3 E21E,f,1,1,0,0,0.02
1272,41781053,https://www.airbnb.com/rooms/41781053,20240905174946,2024-09-06,previous scrape,Unique experience sleep on a boat in centre A’dam,Cosy and homely common area with plenty of sunlight <br />3 and 4 persons  bedrooms and beds are small but clean <br />Outside there is a terras with chairs<br />The boat is located within walking distance of central station and the center of Amsterdam,"The boat is mored in a quiet and pedestrian area on the edge of the center of Amsterdam from there you have lots of opportunities to spend the day,museum, parks, shops, markets and so on",https://a0.muscache.com/pictures/89527591-eacf-4fc3-ad3b-8036968e7ebc.jpg,328054998,https://www.airbnb.com/users/show/328054998,Jennie,2020-01-16,"Workum, Netherlands",Ik ,,,,f,https://a0.muscache.com/im/pictures/user/c34b6fcb-e0cb-4194-bf8c-d7a612a25a4f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c34b6fcb-e0cb-4194-bf8c-d7a612a25a4f.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oostelijk Havengebied - Indische Buurt,,52.37558,4.92384,Shared room in boat,Shared room,16,,4 shared baths,,,"[""Waterfront"", ""Smoke alarm"", ""Breakfast"", ""Essentials"", ""Heating"", ""Paid parking off premises"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Bed linens""]",,2,3,2.0,2.0,3.0,3.0,2.0,3.0,,t,0,0,0,0,2024-09-06,0,0,0,,,,,,,,,,Exempt,t,1,0,0,1,
1280,41868328,https://www.airbnb.com/rooms/41868328,20240905174946,2024-09-06,previous scrape,3-bedroom Family Apartment in trendy A'dam West!,"Welcome in this comfortable large, quiet family apartment in a great (west) area of Amsterdam. There's a 120m2 private space with 3 bedrooms (1 for kids), a large bathroom and a large living room with a view on the canals where you can see the boats pass by. Restaurants, bars, Leidscheplein, De Hallen, Vondelpark and trams are all in walking distance. On request we have a parking spot available in the parking garage underneath the building. The apartment is 100% kids proof.","You exit the apartment straight into the west side of Amsterdam. The Kinkerstraat, Jan Pieter Heijestraat and DeClerqstraat with all it's lively bars and restaurants are just around the corner.  'De Hallen' are about 5 minutes out and you can continue your stroll straight to Leidscheplein or Vondelpark. Right below the apartment is bar Kevin Bacon that offers great cocktails and nice Thai food. A couple of other places that are local and very nice: Buurman de With (pizza and beers), Benji's (Asian snacks) and Bar Spek (lunch and great coffee), but there are loads of other places as well. All local and not too 'touristy'.",https://a0.muscache.com/pictures/hosting/Hosting-41868328/original/9bbe555b-dd5c-477d-adc2-c9ee2a0ba66e.jpeg,6099415,https://www.airbnb.com/users/show/6099415,Jeroen,2013-04-26,"Amsterdam, Netherlands",Jeroen Thissen from Amsterdam The Netherlands. ,within a day,88%,30%,f,https://a0.muscache.com/im/pictures/user/User-6099415/original/0d3fae05-f45e-4352-b716-8af63493db2f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-6099415/original/0d3fae05-f45e-4352-b716-8af63493db2f.jpeg?aki_policy=profile_x_medium,Oud-West,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",De Baarsjes - Oud-West,,52.36712,4.861,Entire rental unit,Entire home/apt,6,,1.5 baths,3.0,,"[""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Kitchen"", ""Coffee maker"", ""Outdoor furniture"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Children's playroom"", ""Smoke alarm"", ""Refrigerator"", ""Canal view"", ""Crib"", ""Private entrance"", ""Private backyard \u2013 Not fully fenced"", ""Free dryer \u2013 In unit"", ""Exercise equipment"", ""Children\u2019s books and toys"", ""Baby monitor"", ""Wifi"", ""Essentials"", ""City skyline view"", ""Heating"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Board games"", ""Outdoor dining area"", ""First aid kit"", ""Fire extinguisher"", ""Children\u2019s bikes"", ""High chair""]",,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2024-09-06,14,2,0,2022-07-24,2024-05-12,5.0,4.86,4.64,4.93,5.0,4.93,4.64,0363 E0FB F38F 32A8 449D,f,1,1,0,0,0.54
1365,6657872,https://www.airbnb.com/rooms/6657872,20240905174946,2024-09-05,previous scrape,Luxurious 112m2 ground floor appt,"Chique and luxurious ground floor appartment with two bedrooms, huge living room gourmet kitchen, bathroom and small garden. Quiet location nearby the river 'Amstel', within walking distance from great city trips and bars/restaurants, close to public transportation. The perfect appartment for a couple with children! Our appartment provides sleeping space for five adults, or for instance three adults and two children, due to flexible sleeping options. We'd love to hear from you!","The impressive river 'de Amstel' is just at the end of the street. A gorgeous stroll alongside the river towards the trending and energetic area 'De Pijp' or the city centre shows you Amsterdam at her best! <br /><br />Many restaurants and bars are within walking distance from the house. We will tell you which ones to visit to experience the real Dutch experience, and not the touristy one! :-) If you want to, we can help you with your reservations. Both higher end restaurants as informal places to eat are just around the corner.<br /><br />A ten minute walk towards a big supermarket with anything you need: Albert Heijn.<br /><br />The neighborhood is quiet. Sometimes on Friday and Saturday nights you will hear some noice of people walking towards the train station around 11pm/midnight. But it has never really bothered us.",https://a0.muscache.com/pictures/96576818/4410aa46_original.jpg,34846770,https://www.airbnb.com/users/show/34846770,Mirte,2015-06-02,"Amsterdam, Netherlands","Hi fellow traveler! 

We are Bas and Mirte, around 35 yrs old and we live in Amsterdam with our two little kids ages 2 and 4.
Our motto for life is work hard, play hard: Mirte is a marketing manager in FMCG and Bas is owner of a paragliding school. Enough about work; we both love to travel, far away or closeby. Bas loves paragliding and visits the beach and dunes at least once a week to fly; even more he loves paragliding in the Alps, so if he's not enjoying Amsterdam; chances are you'll find him in Austria or Italy. I myself love cooking, running (great combination ;-)), shopping and reading. And I hate how boring my life looks compared to Bas' ;-). 
Oh and we do have other things in common, we both love watching movies and series! 

We bought our house in March '15. With an extensive renovation (in both time and euro's) we turned it into our perfect little Amsterdam-palace  and we treat it with care. We will take good care of your house, and expect you to do the same with ours. ",,,,f,https://a0.muscache.com/im/users/34846770/profile_pic/1436110399/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/34846770/profile_pic/1436110399/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, NH, Netherlands",Oud-Oost,,52.35103,4.91269,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,"[""Dishes and silverware"", ""Outlet covers"", ""Washer"", ""Kitchen"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""BBQ grill"", ""Changing table"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Bathtub"", ""Single level home"", ""Host greets you"", ""Oven"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Essentials"", ""Room-darkening shades"", ""Backyard"", ""Heating"", ""TV"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Shampoo"", ""Private entrance"", ""High chair""]",,2,30,2.0,2.0,30.0,30.0,2.0,30.0,,t,0,0,0,0,2024-09-05,22,0,0,2015-07-12,2020-03-18,4.82,4.91,4.91,4.95,4.95,4.77,4.64,0363 5A17 AD29 3C8A 5D73,f,1,1,0,0,0.2
1377,8361053,https://www.airbnb.com/rooms/8361053,20240905174946,2024-09-05,previous scrape,Scandinavian design appartement+garden near centre,Warm spacious  (>136m2) and cosy Scandinavian design 2-floor 2-bedroom groundfloor loftlike family-apartment in popular Oud-West. Nearby citycentre & Jordaan. With porch and large garden. Overlooking park. Including friendly housecat.,"A 19th centrury trendy neighborhood just outside famous Jordaan area, with lots of shops, restaurants and terraces full of citylife. Nearby new attractions like De Hallen and Westerpark. Not far from Rijksmuseum, Van Goghmuseum etc.",https://a0.muscache.com/pictures/6cd997e9-187c-4fad-af54-805f2f339182.jpg,4557482,https://www.airbnb.com/users/show/4557482,Rosalie,2013-01-02,"Amsterdam, Netherlands",,,,,f,https://a0.muscache.com/im/users/4557482/profile_pic/1438434771/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4557482/profile_pic/1438434771/original.jpg?aki_policy=profile_x_medium,Oud-West,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",De Baarsjes - Oud-West,,52.37107,4.8719,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Washer"", ""Heating"", ""Kitchen"", ""Wifi"", ""Fire extinguisher"", ""Private entrance"", ""TV with standard cable"", ""Dryer""]",,3,13,3.0,3.0,13.0,13.0,3.0,13.0,,t,0,0,0,0,2024-09-05,4,0,0,2016-09-08,2017-07-28,4.75,5.0,4.75,5.0,5.0,5.0,5.0,0363 FBAE 3B78 9751 392B,f,1,1,0,0,0.04
1404,9569018,https://www.airbnb.com/rooms/9569018,20240905174946,2024-09-05,previous scrape,Spacious family house,"Welcome in this lovely house with a sunny garden. It is build 5 years ago and can accomodate 5/6 persons, it is spacious with 3 bedr. In a quiet neighbourhood, next to parc, near beach and harbor. Shops nearby. In 15 min. you are in Amsterdam centre by tram.","Ijburg is a new island 10 km from Amsterdam. A lot of family's live here. It is quiet and very comfortable. It is surrounded by water in which you can swimm. There is a parc nearby, you can stroll along the coast of the IJmeer  <br />It is centrally located in Holland, you can reach a lot of city's from here.<br />There are shops to do groceries and bars and restaurants on the harbour.",https://a0.muscache.com/pictures/04e46b43-5e14-4298-9577-778533c275f1.jpg,49538851,https://www.airbnb.com/users/show/49538851,Machteld,2015-11-21,"Amsterdam, Netherlands",,,,,f,https://a0.muscache.com/im/pictures/user/8ad4e7a9-22db-4447-8733-58b93cc7664b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8ad4e7a9-22db-4447-8733-58b93cc7664b.jpg?aki_policy=profile_x_medium,Oost,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",IJburg - Zeeburgereiland,,52.34865,5.01056,Entire home,Entire home/apt,5,,1 bath,3.0,,"[""Hangers"", ""Essentials"", ""Iron"", ""Washer"", ""Heating"", ""Free parking on premises"", ""Kitchen"", ""Wifi"", ""TV with standard cable"", ""Dryer""]",,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2024-09-05,7,0,0,2017-08-07,2019-07-26,4.43,4.86,4.14,4.71,4.57,4.71,4.29,0363 D8C2 C24A 513E BC59,f,1,1,0,0,0.08
1408,12251311,https://www.airbnb.com/rooms/12251311,20240905174946,2024-09-05,previous scrape,Amsterdam city center & nature at your fingertips,"We love to welcome you to our warm, comfortable & spacious home in the safe and child friendly neighborhood Elzenhagen, an area located in the 7th most hip neighborhoods of the world, Amsterdam-North. <br /><br />With the brand new subway near our house you're only 5 minutes away from Amsterdam Central Station. So you can enjoy the vibrant city of Amsterdam and the relaxing and peaceful atmosphere of our home and the Dutch countryside at the same time.","Our home in located the picturesque district 'Elzenhagen', with houses build in a very typical Dutch Zaanse style. It is perfectly located, with close by on the one hand central Amsterdam and on the other Waterland, the typical Dutch countryside. The charming villages and tranquil surroundings of neighbouring Waterland region make it a perfect destination for exploring by bike.<br /><br />We will lay out two lists for you. One with our favorite places to visit in the center of lovely Amsterdam and one with our favorite spots in Amsterdam-North, the 7th most hip neighborhoods of the world, according to (URL HIDDEN) <br />""Amsterdam North has an industrial feel and became one of the coolest neighbourhoods over the last years. More and more hotspots are popping up!""",https://a0.muscache.com/pictures/6d4d2d46-58b1-4a1c-b688-002910c7c587.jpg,283269,https://www.airbnb.com/users/show/283269,Manon,2010-11-10,"Amsterdam, Netherlands","Hi there!

We are a couple with a son, both working in the creative sector. While we love our life in Amsterdam, we've also fallen in love with the charm of southern Spain—the stunning nature, sunny weather, beautiful coastline & delicious food. ☀️

In 2022, we were thrilled to make a long-held dream come true by finding our perfect home near the coast in Estepona-Malaga.
We can’t wait to welcome you to our home, whether in Amsterdam or Estepona!",within a few hours,100%,91%,t,https://a0.muscache.com/im/pictures/user/544b379f-aa52-4123-b007-346fa5c48c7c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/544b379f-aa52-4123-b007-346fa5c48c7c.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Noord-Oost,,52.40569500604175,4.932807668192213,Entire home,Entire home/apt,5,,1 bath,4.0,,"[""Dishes and silverware"", ""Garden view"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Game console"", ""Dedicated workspace"", ""Private patio or balcony"", ""Kitchen"", ""Coffee maker"", ""Outdoor furniture"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Smart lock"", ""Iron"", ""Refrigerator"", ""Hammock"", ""Resort access"", ""Free parking on premises"", ""Oven"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Self check-in"", ""Dishwasher"", ""HDTV with Disney+, Amazon Prime Video, Chromecast, Netflix"", ""Hangers"", ""Essentials"", ""Outdoor playground"", ""Free street parking"", ""Heating"", ""Children\u2019s dinnerware"", ""Outdoor dining area"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Wifi \u2013 16 Mbps"", ""High chair""]",,3,8,1.0,1.0,8.0,8.0,1.0,8.0,,t,0,0,0,0,2024-09-05,57,4,4,2016-05-09,2024-09-01,4.82,4.93,4.95,4.89,4.93,4.49,4.75,0363 4389 54D4 3EEB E93F,f,1,1,0,0,0.56
1431,19397125,https://www.airbnb.com/rooms/19397125,20240905174946,2024-09-06,previous scrape,Spaceous apartment in Amsterdam-Noord,"Our apartment is particularly suited for families with 1 or 2 children.<br /><br />Our large living room merges with the kitchen and is bathing in light, since our corner house has windows in virtually all directions. The second floor has 3 bedrooms (of which 2 children's bedrooms) and a bath room (with bath).<br /><br />You'll be very close to the city centre : walk to the IJ-river and the ferry brings you to the heart of Amsterdam. <br /><br />Enjoy Wifi, free car parking, and play the piano","Amsterdam-North is especially fun, since it is THE upcoming area of the town. People of all sorts, finding their way, sharing their differences.<br />New, fresh, funny bars and restaurants are opening every day. Furthermore, it is among Amsterdam's 'greenest' areas, with parks and even a forest (hear 100's of birds singing). <br />With a 5 minutes walk, you'll find a lively atmosphere around the public swimming pool, the ice cream shop and the grass pitch.",https://a0.muscache.com/pictures/miso/Hosting-19397125/original/bf410129-5517-402d-8402-900defac5818.jpeg,135983607,https://www.airbnb.com/users/show/135983607,Bas,2017-06-20,"Amsterdam, Netherlands",Registratienummer : 0363 7EF7 1462 F0DE D7F6,within a few hours,100%,60%,f,https://a0.muscache.com/im/pictures/user/0a371f96-c83f-415e-99ee-66814b5d156c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0a371f96-c83f-415e-99ee-66814b5d156c.jpg?aki_policy=profile_x_medium,IJplein en Vogelbuurt,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Noord,,52.38594,4.91714,Entire rental unit,Entire home/apt,5,,1.5 baths,3.0,,"[""Smoke alarm"", ""Essentials"", ""TV"", ""Wifi"", ""Private entrance"", ""Kitchen""]",,4,14,4.0,4.0,14.0,14.0,4.0,14.0,,t,0,0,0,0,2024-09-06,32,10,4,2017-08-03,2024-08-30,4.88,4.78,4.59,4.97,4.97,4.81,4.63,0363 7EF7 1462 F0DE D7F6,f,1,1,0,0,0.37
1442,44455238,https://www.airbnb.com/rooms/44455238,20240905174946,2024-09-05,city scrape,Large apartment on the sheep farm,"You have a brand new apartment on the farm of Alex Kuiper. He milks around 600 sheep and makes cheese of the milk. Their cheese is famous in Holland.<br />The apartment has 3 bedrooms, a private bathroom and a large livingroom/kitchen.<br />The apartment is so new that we do not have proper pictures of it yet, but you will be surprised by it.","Ransdorp is located on the northern border of Amsterdam, but the meadow area around Ransdorp is surprisingly beautiful. You will stay in the countryside, but still close to the city.",https://a0.muscache.com/pictures/miso/Hosting-44455238/original/78093751-a9c3-4546-a4ed-b539c3e4a451.jpeg,3040748,https://www.airbnb.com/users/show/3040748,Henk,2012-07-24,"Amsterdam, Netherlands","Living in the countryside, just near Amsterdam is great fun. We live between the meadows in a very quet area and at the same time a great city is at armlength.  
My profession is IT projectmanager, and I am a local historian and a musician, playing the trombone in the local orchestra. Together with my wife Annemieke we run the B&B.",within a few hours,95%,88%,f,https://a0.muscache.com/im/users/3040748/profile_pic/1352910136/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3040748/profile_pic/1352910136/original.jpg?aki_policy=profile_x_medium,,12,16,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Noord-Oost,,52.39648,4.99262,Private room in bed and breakfast,Private room,6,1.5,1.5 baths,3.0,6.0,"[""Smoke alarm"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Backyard"", ""Private living room"", ""Heating"", ""Free parking on premises"", ""Hair dryer"", ""First aid kit"", ""Shampoo"", ""Wifi"", ""Private entrance"", ""Kitchen""]",$152.00,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,t,11,28,58,325,2024-09-05,156,59,3,2021-07-20,2024-08-13,4.55,4.65,4.32,4.59,4.45,4.65,4.57,0363 2A6D 7C09 877D 715F,f,9,1,8,0,4.09
1456,1157239204189836048,https://www.airbnb.com/rooms/1157239204189836048,20240905174946,2024-09-05,city scrape,Numa | XL 2-Bedroom Apartment w/ Sofabed,"This comfortable apartment offers 81 sqm of space. Ideal for up to six people, its double bed (180x200), sofabed (160x200), two single beds (90x200), and modern bathroom with shower and bathtub make this stay a perfect way to experience Amsterdam. There’s also a kitchen and a dining table, so you’ll have everything you need for maximum comfort and minimal stress.","Numa Amsterdam Docklands is nestled in the area of Amsterdam’s Eastern Docklands, which once played a crucial role in trade with the Dutch East Indies. Today, it’s home to chic, Scandinavian waterfront architecture. The area is rich in culture and dining options, boasting many of Amsterdam's most authentic restaurants and bars. Whether you’re a nature lover or an enthusiastic urban explorer, Docklands offers the best of both worlds. Just a short stroll away, you’ll find captivating, natural attractions–Flevopark, Artis Zoo, and the breathtaking Hortus Botanical Garden, one of Amsterdam’s greatest gems. Close to the botanical garden, you'll find the vibrant heart of Amsterdam at Rembrandtplein. Here, the selection of locally brewed beers is endless, and the lively energy of Amsterdammers immaculate.",https://a0.muscache.com/pictures/miso/Hosting-1157239204189836048/original/59a7b73f-161f-4581-bd35-3b3abfd93270.jpeg,289104253,https://www.airbnb.com/users/show/289104253,Silvina Soledad,2019-08-26,,"In a world of stuffy, faceless hotels, we’re replacing the unnecessary hassle with simplicity and delight. Mixing technology and taste together in the world’s greatest neighbourhoods, we create stays that are unashamedly original authentic. With the comforts of home and the quality of a boutique hotel. Want to stay with us for longer? We’ve designed our properties with your joy in mind, whether you stay for a night, a week, or a season.",within an hour,96%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/d8dea81d-fd1d-4730-af72-f7ae93801adc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/d8dea81d-fd1d-4730-af72-f7ae93801adc.jpeg?aki_policy=profile_x_medium,,10,10,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oostelijk Havengebied - Indische Buurt,,52.3688442,4.9463551,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,4.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Keypad"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi""]",$440.00,1,365,1.0,3.0,999.0,999.0,2.8,999.0,,t,16,16,16,16,2024-09-05,3,3,1,2024-07-08,2024-08-23,4.33,4.67,4.67,3.33,4.0,4.0,4.33,Exempt,t,10,10,0,0,1.5
1465,12599072,https://www.airbnb.com/rooms/12599072,20240905174946,2024-09-05,city scrape,Marnix Top: APT Leidsche,"Enjoy your stay in this beautiful and elegant apartment, located in the heart of the city with its main sites such as Dam Square, the Red Light District, Anne Frank House and Museumplein nearby. Do not miss this opportunity!","The Jordaan is one of the oldest districts of Amsterdam and where the real”Amsterdammer” are from. The best features of the city are within walking distance, making it easier to get around, Tram,bus parking are very close to the Hotel.<br />Locals will recommend that you take a stroll along the canals in the evening. It is fabulous.<br />The famous 9 streets (9 Straatjes) is only a 2-minute walk away. Here you will find all kinds of small shops, cafes and restaurants. The lively Leidseplein where all Bars / Cafe and  Nightlife, is  300m away,  you could bike to the red light districts or take a lovely stroll through the city. The Elandsgracht is a 2-minute walk away, here you can find good restaurants and supermarkets. A 5-minute walk away is Museumplein, the area that houses the Rijksmuseum, stedelijk Museum or the Van Gogh Museum. There are many tourist attractions in that neighborhood and also our beautiful Concert theatre. You could also find one of our most exclusive shopping stre",https://a0.muscache.com/pictures/df7bfc3a-e581-45b5-a99d-7e53cff8f601.jpg,68338234,https://www.airbnb.com/users/show/68338234,Dries,2016-04-22,"Amsterdam, Netherlands","Hi!

My name is Dries, one of the owners of 5 luxury apartments in Amsterdam. We are hosting for people who want to enjoy everything Amsterdam has to offer, live in an original Amsterdam apartment in between ""Amsterdammers"". We hope that what Amsterdam and we have to offer makes your stay pleasant for you and that you enjoy that and have our neighbours enjoy having respectfull temporary guests!

Note that this is a typical Amsterdam building with typical steep stairs, first day it might be a bit arduous, but after some time you get used to it and run up and down the stairs!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/dcd0a360-ea11-44e8-8a18-32842fe9b626.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dcd0a360-ea11-44e8-8a18-32842fe9b626.jpg?aki_policy=profile_x_medium,Jordaan,5,6,['phone'],t,t,"Amsterdam, Noord-Holland, Netherlands",De Baarsjes - Oud-West,,52.36564,4.87855,Entire rental unit,Entire home/apt,7,1.0,1 bath,2.0,6.0,"[""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Window guards"", ""Microwave"", ""Crib"", ""Bathtub"", ""Host greets you"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",$344.00,3,365,2.0,3.0,1125.0,1125.0,2.3,1125.0,,t,9,29,56,317,2024-09-05,235,18,1,2016-07-08,2024-08-06,4.4,4.48,4.46,4.45,4.54,4.79,4.25,Exempt,f,5,5,0,0,2.36
1496,1131308932442878009,https://www.airbnb.com/rooms/1131308932442878009,20240905174946,2024-09-05,city scrape,3 bedrooms apartment in Amsterdam,"The apartment is located on the 4th floor of the building. There are 2 bedrooms & 1 living room with 6 beds with 1 bed extra when needed sometimes, so 2 families are welcome.<br />The living room includes a TV with Netflix & Viaplay. <br />The location is 20 minutes bus close to Amsterdam Central and tourism area leidseplein.<br />Please be quiet and keep clean during the stay, don't smoke.<br />Normal check-in 2 pm, check-out 12<br />Registration number 0363 1CD0 25B3 B339 DBA0",,https://a0.muscache.com/pictures/miso/Hosting-1131308932442878009/original/7effbfbf-5a35-4230-a30e-e33dddac9da0.jpeg,571478428,https://www.airbnb.com/users/show/571478428,Qiguang,2024-04-09,"Amsterdam, Netherlands","Hello guest

I live in Amsterdam for long, and rent this apartment during holiday, you are welcome to live at my apartment.",within an hour,100%,76%,t,https://a0.muscache.com/im/pictures/user/User-571478428/original/ba4df78a-afc0-4d33-9dda-e991d56ea91d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-571478428/original/ba4df78a-afc0-4d33-9dda-e991d56ea91d.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,,Oostelijk Havengebied - Indische Buurt,,52.363985891775535,4.938712882508501,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Dishes and silverware"", ""Paid parking on premises"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Washer"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Radiant heating"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Extra pillows and blankets"", ""Safe"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hangers"", ""Dining table"", ""TV"", ""Long term stays allowed"", ""Free dryer"", ""Freezer"", ""Coffee maker: espresso machine, Keurig coffee machine"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen""]",$308.00,3,60,3.0,3.0,60.0,60.0,3.0,60.0,,t,14,29,59,60,2024-09-05,11,11,1,2024-04-22,2024-08-26,5.0,4.91,5.0,5.0,5.0,4.82,5.0,03625DE31C5E1D024E93,f,1,1,0,0,2.41
