,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
527,1167420809334643229,https://www.airbnb.com/rooms/1167420809334643229,20240905174946,2024-09-06,city scrape,Lovely bright and cozy apartment,"Nestled in the vibrant and historic Old West of Amsterdam, our charming apartment offers the perfect blend of comfort and convenience. Whether you're here for a romantic getaway, a cultural exploration, or a business trip, this is your ideal home away from home. <br />Prime Location: Situated in the heart of Amsterdam, you’ll be steps away from the city’s best attractions, restaurants, and shopping districts.",,https://a0.muscache.com/pictures/miso/Hosting-1167420809334643229/original/9fb6c76d-bccf-4490-94ef-7b764b72319a.jpeg,580368877,https://www.airbnb.com/users/show/580368877,Vera,2024-05-29,,,within a day,67%,,f,https://a0.muscache.com/im/pictures/user/User/original/808b334a-6f6b-4ac2-92df-c3b4bd26cb5a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/808b334a-6f6b-4ac2-92df-c3b4bd26cb5a.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,De Baarsjes - Oud-West,,52.36822,4.86589,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Dishes and silverware"", ""Central heating"", ""Washer"", ""Rice maker"", ""Private patio or balcony"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Blender"", ""Microwave"", ""Wine glasses"", ""Extra pillows and blankets"", ""Coffee maker: Nespresso"", ""Paid street parking off premises"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Mosquito net"", ""Dishwasher"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Dining table"", ""TV"", ""Freezer"", ""First aid kit"", ""Kitchen"", ""Bed linens""]",$300.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,17,41,71,251,2024-09-06,0,0,0,,,,,,,,,,0363 15E1 A81E 4F3F 53AD,f,1,1,0,0,
535,53677632,https://www.airbnb.com/rooms/53677632,20240905174946,2024-09-05,city scrape,"Lovely 2 bedroom apartment in popular ""de pijp""","Our lovely apartment in the heart of the popular neighbourhood ""de pijp"" is on the first floor and has a little garden in the back. Right near the house you can find many shops, stores, bars and restaurants.<br /><br />The whole house is animal and smoke free and is perfect for a couple. Also there is a baby box and crib for if you want to bring your child. <br /><br />The kitchen is fully equipped with oven, microwave and espresso machine and the bathroom has a jacuzzi.",,https://a0.muscache.com/pictures/miso/Hosting-53677632/original/3f5bebaa-548d-4863-b98d-b78a39124288.jpeg,53635540,https://www.airbnb.com/users/show/53635540,Sietze,2016-01-06,"Amsterdam, Netherlands",,within a day,83%,53%,f,https://a0.muscache.com/im/pictures/user/c9c168e1-a74d-48a3-a715-0f3a75dec792.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c9c168e1-a74d-48a3-a715-0f3a75dec792.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,De Pijp - Rivierenbuurt,,52.35034,4.89152,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Barbecue utensils"", ""Body soap"", ""Central heating"", ""Washer"", ""Portable fans"", ""Babysitter recommendations"", ""Kitchen"", ""Patio or balcony"", ""Cooking basics"", ""BBQ grill"", ""Children's playroom"", ""Changing table"", ""Baby bath"", ""Hot water"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Bread maker"", ""Microwave"", ""Clothing storage"", ""Refrigerator"", ""Coffee maker: espresso machine"", ""Crib"", ""Wine glasses"", ""Bathtub"", ""Single level home"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Paid street parking off premises"", ""Oven"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Conditioner"", ""Wifi"", ""Cleaning available during stay"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Outdoor playground"", ""TV"", ""Children\u2019s dinnerware"", ""Board games"", ""Long term stays allowed"", ""Freezer"", ""Bikes"", ""Shampoo"", ""Private entrance"", ""High chair"", ""Bed linens""]",$240.00,3,365,3.0,4.0,365.0,365.0,3.0,365.0,,t,3,3,3,95,2024-09-05,14,5,0,2022-03-02,2024-03-11,4.93,4.93,4.79,4.93,4.93,5.0,4.86,0363 D6B0 20C1 EBAD D60D,f,1,1,0,0,0.46
538,1205800660464894033,https://www.airbnb.com/rooms/1205800660464894033,20240905174946,2024-09-05,city scrape,Luxurious apartment with balcony,"Experience a luxurious stay in our spacious apartment next to Rembrandt Park. Within 15 minutes from Schiphol Airport and close to the city centre, our home offers convenience and comfort. Enjoy a living room,  a balcony with sun in the evening, fully equiped kitchen, a separate bedroom, bathroom , and amenities like a dishwasher and laundry machine. Located in a peaceful neighborhood, this is the apartment I live in, ensuring a welcoming and well-maintained space perfect for your stay.",,https://a0.muscache.com/pictures/miso/Hosting-1205800660464894033/original/52fed164-5c69-43fb-8b18-34cb8a2fe38c.jpeg,37073411,https://www.airbnb.com/users/show/37073411,Daan,2015-06-29,"Amsterdam, Netherlands",,within a day,100%,43%,f,https://a0.muscache.com/im/pictures/user/f1588c89-5a88-4e65-9609-2cb0213c5535.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1588c89-5a88-4e65-9609-2cb0213c5535.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Slotervaart,,52.365511739834126,4.841579288048538,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Paid parking on premises"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Outdoor dining area"", ""First aid kit"", ""Wifi"", ""Kitchen""]",$156.00,4,365,4.0,4.0,365.0,365.0,4.0,365.0,,t,10,10,10,10,2024-09-05,1,1,1,2024-08-25,2024-08-25,5.0,5.0,3.0,5.0,5.0,5.0,5.0,0363 0169 D691 27D8 9597,f,1,1,0,0,1.0
543,709748424941010791,https://www.airbnb.com/rooms/709748424941010791,20240905174946,2024-09-05,city scrape,Cosy small apartment in the heart of Amsterdam.,"One tiny cozy apartment with a vintage charm. looking to an amazing peaceful canal and green area, right behind a live neighbourhood but with an experience of suburb calmness.  it is at the first floor and you can enjoy the sun light from both east and west side as it is all connected.<br />very charming, local neighbourhood with complete public transportation access to the city centre in less than 30 min.<br /><br />You have access to   ( Bus and Tram and Metro ) few minutes walking distance from my place.",,https://a0.muscache.com/pictures/miso/Hosting-709748424941010791/original/03ebb670-9b5d-4d91-825e-433be017edfd.jpeg,10667425,https://www.airbnb.com/users/show/10667425,Kaveh,2013-12-17,"Amsterdam, Netherlands","Hello lovely travelers,

My name is Kaveh, and I live in this lovely apartment. I have decided to travel all this summer, so I would like to host travelers to enjoy Amsterdam while staying at my place. I work in sales, usually working from home, but I often travel around the world. I hope you have an amazing time in my cozy tiny home :)",within a day,60%,36%,f,https://a0.muscache.com/im/users/10667425/profile_pic/1406813944/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10667425/profile_pic/1406813944/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,Zuid,,52.34894057972226,4.846749250947069,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Paid parking on premises"", ""Shower gel"", ""Iron"", ""Washer"", ""Radiant heating"", ""TV"", ""Kitchen"", ""Hair dryer"", ""Room-darkening shades"", ""Wifi"", ""Free dryer"", ""Bed linens"", ""Hot water""]",$186.00,4,30,3.0,4.0,30.0,30.0,4.0,30.0,,t,0,18,46,46,2024-09-05,2,2,1,2024-07-27,2024-08-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 F241 56B3 045B 31F8,f,1,1,0,0,1.46
548,930814006761975319,https://www.airbnb.com/rooms/930814006761975319,20240905174946,2024-09-05,city scrape,Charming floating houseboat,"Charming and family friendly residential park (about 102m2) in the hip Amsterdam North. Only 10 minutes by bike from downtown Amsterdam. The property is part of a unique residential area of 40 self-designed sustainable houseboats. The residential park is divided into 3 floors. On the upper floor (split level) a TV and a rooftop terrace. At the first floor, kitchen and living. Downstairs bedroom for 2 adults and a children's room for 2. Bathroom with bathtub and generous shower.","The home is part of a sustainable eco district ""Schoonschip Amsterdam"" It is a fine child-friendly residential area with 40 unique self-designed living parks. There is a lot of swimming, tuping and canoeing. Within 10 minutes by bike, you are in the heart of Amsterdam Centrum. The creative heart of NDSM is a 10-minute walk away, with cozy cafes and restaurants.",https://a0.muscache.com/pictures/miso/Hosting-930814006761975319/original/612ca75a-b2bd-4f2f-b915-565a396acc17.jpeg,25359885,https://www.airbnb.com/users/show/25359885,Thijs,2014-12-29,"Amsterdam, Netherlands",,within a day,100%,33%,f,https://a0.muscache.com/im/users/25359885/profile_pic/1419889580/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/25359885/profile_pic/1419889580/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Noord,,52.39363126296151,4.90783337675878,Entire home,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,"[""Dishes and silverware"", ""Coffee"", ""Washer"", ""Private patio or balcony"", ""Piano"", ""Cooking basics"", ""Bosch oven"", ""Children's playroom"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Paid street parking off premises"", ""Free dryer \u2013 In unit"", ""Children\u2019s books and toys"", ""EV charger"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Dining table"", ""Essentials"", ""Outdoor playground"", ""Books and reading material"", ""Heating"", ""TV"", ""Board games"", ""Freezer"", ""Fire extinguisher"", ""Children\u2019s bikes"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",$225.00,5,21,5.0,5.0,21.0,21.0,5.0,21.0,,t,0,0,0,121,2024-09-05,4,3,2,2023-08-22,2024-08-26,5.0,5.0,5.0,4.75,5.0,4.5,5.0,0363 405F 0B0D 79FF 21B3,f,1,1,0,0,0.31
549,20042458,https://www.airbnb.com/rooms/20042458,20240905174946,2024-09-06,city scrape,Cosy Apartment in Amsterdam,"Amazing apartment in De pijp Amsterdam area , 1 big living room and 1 bedroom.<br />1 king size.<br />(Possible short term renting few months outside Airbnb).<br />You are welcome",,https://a0.muscache.com/pictures/3328f5b1-6515-4161-ac9c-f8310b0f12f0.jpg,131673486,https://www.airbnb.com/users/show/131673486,Tols,2017-05-23,"Paris, France",,within a day,63%,0%,f,https://a0.muscache.com/im/pictures/user/f9cc5a6d-a499-4ee8-a45c-70bf509eb8d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f9cc5a6d-a499-4ee8-a45c-70bf509eb8d8.jpg?aki_policy=profile_x_medium,De Pijp,1,5,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.35709,4.89527,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Kitchen""]",$200.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,26,56,86,361,2024-09-06,0,0,0,,,,,,,,,,AQZD 1654 AZ12 89WF Q0F8,f,1,1,0,0,
550,846301187759193882,https://www.airbnb.com/rooms/846301187759193882,20240905174946,2024-09-05,city scrape,Bright studio in Amsterdam,"Beautiful studio in a great location in Amsterdam.  Everything is present in this apartment, a good bed and a kitchen that is fully equipped.  The apartment can be reached by several tram and bus lines and is around the corner from the lovely Westerpark.  With the Jordaan within walking distance and many different restaurants in the area, this is a prime location for a weekend away in Amsterdam",,https://a0.muscache.com/pictures/miso/Hosting-846301187759193882/original/a091397d-b2a0-4822-9d2e-60a23f96b7c6.jpeg,260726901,https://www.airbnb.com/users/show/260726901,Pernilla,2019-05-09,"Amsterdam, Netherlands","Hi, I rent out my lovely studio in Amsterdam. The appartment is furnished with care and always clean.
",within a day,100%,21%,f,https://a0.muscache.com/im/pictures/user/07d2fb0c-0b1c-4036-9b01-3c987ed8ed9a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/07d2fb0c-0b1c-4036-9b01-3c987ed8ed9a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Westerpark,,52.38298754891305,4.869492104460399,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""Smoke alarm"", ""TV"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",$135.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,1,1,2,62,2024-09-05,6,2,0,2023-04-10,2024-07-01,4.17,4.33,3.67,4.17,4.17,4.33,4.0,0363 7A28 53AE 6B88 9548,f,1,1,0,0,0.35
553,1132697745841907461,https://www.airbnb.com/rooms/1132697745841907461,20240905174946,2024-09-05,city scrape,Amsterdam luxe woning,Lovely luxury spacious house on the swimming water with fantastic views in Amsterdam IJburg.,"The house is located in the IJburg district. A beautiful new neighborhood with lots of nature and space around you. IJburg is a children-friendly neighborhood with, among other things,  a city beach. In the summer there is a lot of activity on the water.<br /><br /> In 5 minutes you walk to the tram with which you are in the center of Amsterdam in 15 minutes. <br /><br />There are several nice restaurants, shops and a beautiful harbor within walking distance where you can have a drink and eat at various restaurants on the terrace.<br /><br />You can also rent bicycles at the bike shop and enjoy cycling in nature.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEzMjY5Nzc0NTg0MTkwNzQ2MQ%3D%3D/original/f490acd9-31f1-43f2-9530-d060f80460f6.jpeg,571807330,https://www.airbnb.com/users/show/571807330,Danielle,2024-04-11,"Amsterdam, Netherlands",Ik woon al 14 jaar samen met mijn gezin met veel plezier op IJburg. Ik kijk ernaar uit om je te ontmoeten,within a day,83%,25%,f,https://a0.muscache.com/im/pictures/user/User-571807330/original/19ddee80-24ed-4212-86c4-721c4f9dc809.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-571807330/original/19ddee80-24ed-4212-86c4-721c4f9dc809.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",IJburg - Zeeburgereiland,,52.34839,5.01461,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Shower gel"", ""Body soap"", ""Central heating"", ""Washer"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Lake view"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Clothing storage"", ""Free parking on premises"", ""Lake access"", ""Bathtub"", ""Beach access \u2013 Beachfront"", ""Free dryer \u2013 In unit"", ""Indoor fireplace"", ""Conditioner"", ""Wifi"", ""Hangers"", ""Essentials"", ""TV"", ""Outdoor dining area"", ""First aid kit"", ""Shampoo"", ""Kitchen"", ""Bed linens""]",$400.00,5,20,1.0,5.0,20.0,20.0,5.0,20.0,,t,0,0,0,12,2024-09-05,1,1,0,2024-07-29,2024-07-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,036364C3EB610690BEOC,f,1,1,0,0,0.77
555,1018216930274860344,https://www.airbnb.com/rooms/1018216930274860344,20240905174946,2024-09-06,city scrape,Modern light apartment by the Amstel,Apartment is suitable for 4 persons and a great starting point for a visit to Amsterdam. Due to its location very suitable for a business stay. Central location with a side view of the iconic Skinny Bridge and near the atmospheric Utrechtsestraat.,,https://a0.muscache.com/pictures/hosting/Hosting-1018216930274860344/original/0af4e9f5-0a58-4a43-85a3-dfd4b8f63996.jpeg,39739116,https://www.airbnb.com/users/show/39739116,Leendert,2015-07-27,Netherlands,,within a day,100%,50%,f,https://a0.muscache.com/im/pictures/user/d19f03e1-8ff2-48e1-bfa7-40d5a029b575.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d19f03e1-8ff2-48e1-bfa7-40d5a029b575.jpg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,Centrum-Oost,,52.36223402144337,4.900549005961326,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Smoke alarm"", ""Iron"", ""Washer"", ""Heating"", ""TV"", ""First aid kit"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Oven"", ""Hair dryer"", ""Indoor fireplace"", ""Outdoor dining area"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Hot water""]",$470.00,4,12,4.0,4.0,12.0,12.0,4.0,12.0,,t,0,0,12,163,2024-09-06,1,1,0,2024-05-12,2024-05-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 EC87 6E83 F658 7AA7,f,1,1,0,0,0.25
570,1186800508654659565,https://www.airbnb.com/rooms/1186800508654659565,20240905174946,2024-09-05,city scrape,Sunny Apt in Amsterdam Old South,"Welcome to our bright, sunny one-bedroom apartment in Amsterdam Old South!<br /><br />Enjoy morning and evening sunlight with views of a tranquil courtyard and the historic Olympic Stadium. <br /><br />Conveniently located near a bus stop with direct routes to Schiphol Airport (22 min) and Leidseplein (13 min). Just an 8-minute bike ride to Vondelpark and Amsterdamse Bos, and 8 minutes to Station Zuid. <br /><br />Our apartment offers modern amenities, high-speed Wi-Fi, a fully equipped kitchen, and a cozy atmosphere.",,https://a0.muscache.com/pictures/hosting/Hosting-1186800508654659565/original/1249880b-b993-4ea3-915a-892b5296b78f.jpeg,280638255,https://www.airbnb.com/users/show/280638255,Jeandré,2019-07-30,"Amsterdam, Netherlands",,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-280638255/original/931126eb-19c2-4c0d-b323-bb52e141cc62.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-280638255/original/931126eb-19c2-4c0d-b323-bb52e141cc62.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Zuid,,52.34389,4.85816,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Self check-in"", ""Wifi"", ""Kitchen""]",$260.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,18,23,37,134,2024-09-05,0,0,0,,,,,,,,,,0363 D4F3 EB8F A5B1 6181,f,1,1,0,0,
572,33677630,https://www.airbnb.com/rooms/33677630,20240905174946,2024-09-06,city scrape,"Bright & quiet home with garden, close to centre","Perfect for families with children<br /><br />Find rest from the hustle and buzzle of Amsterdam city in our tranquil house on Ijburg. Very close to city beaches on one side and the city centre to the other, the location couldn't be any better.<br /><br />(MORE AND BETTER PHOTOS WILL FOLLOW)",,https://a0.muscache.com/pictures/0267edf0-563e-4d00-95c7-24230bea8b58.jpg,4412129,https://www.airbnb.com/users/show/4412129,Benjamin,2012-12-15,"Amsterdam, Netherlands","We (Ben and Mandy) are both living and working in Amsterdam , enjoy travelling, cooking and inviting friends over for dinner evenings. 

Our last longer tour was a 3-month backpack trip to South East Asia, where we ve seen Thailand, Vietnam, Laos and Cambodia.    

This years travel wish list includes: Istanbul, Milan, Stockholm, Antwerp, Biarritz and Marrocco for the surf. ",within a day,100%,13%,f,https://a0.muscache.com/im/pictures/user/b9059fba-b5f9-4610-a8f3-663c3112a22f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b9059fba-b5f9-4610-a8f3-663c3112a22f.jpg?aki_policy=profile_x_medium,Oost,1,2,"['email', 'phone']",t,t,,IJburg - Zeeburgereiland,,52.35656,4.9957,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Dishes and silverware"", ""50 inch HDTV with Amazon Prime Video, Netflix, Apple TV"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Cooking basics"", ""Baby bath"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Refrigerator"", ""Free parking on premises"", ""Bathtub"", ""Luggage dropoff allowed"", ""High chair"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Baby monitor"", ""Wifi"", ""Hangers"", ""Essentials"", ""Backyard"", ""Free street parking"", ""Heating"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Kitchen""]",$270.00,4,730,4.0,4.0,730.0,730.0,4.0,730.0,,t,16,36,47,137,2024-09-06,8,1,0,2019-06-16,2024-07-31,4.88,4.88,4.63,4.63,4.88,4.88,4.25,0363 124C 4E93 65D1 1FF3,f,1,1,0,0,0.13
592,1163128698959224422,https://www.airbnb.com/rooms/1163128698959224422,20240905174946,2024-09-06,city scrape,Spacious family house with sunny garden,"Spacious fully equiped (4 bedroom, 2 bathroom) ground floor, family home with sunny south facing terrace and garden. Situated in the vibrant Baarsjes are you will find many restaurants, shops, a food market and bars at your doorstep. Parks, city centre and public transport at walking distance.",,https://a0.muscache.com/pictures/hosting/Hosting-1163128698959224422/original/c6447ccf-0ad3-498d-8e72-55dd3f2a5521.jpeg,132038398,https://www.airbnb.com/users/show/132038398,Joyce,2017-05-26,"Amsterdam, Netherlands",,within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/de5f4911-086a-43d8-a0cd-85ecc5fe2649.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/de5f4911-086a-43d8-a0cd-85ecc5fe2649.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,De Baarsjes - Oud-West,,52.37182094508146,4.859693864729418,Entire home,Entire home/apt,4,2.0,2 baths,4.0,0.0,"[""Dishes and silverware"", ""Toaster"", ""Coffee"", ""Washer"", ""Rice maker"", ""Kitchen"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""Hot water"", ""Smoke alarm"", ""Sun loungers"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Bathtub"", ""Oven"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Dining table"", ""Backyard"", ""Heating"", ""TV"", ""Children\u2019s dinnerware"", ""Board games"", ""Outdoor dining area"", ""Freezer"", ""First aid kit"", ""Fire extinguisher"", ""Private entrance"", ""High chair"", ""Bed linens""]",$350.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,0,0,0,153,2024-09-06,0,0,0,,,,,,,,,,0363 F64C DA4E E1A9 16FA,f,1,1,0,0,
597,709074003308741628,https://www.airbnb.com/rooms/709074003308741628,20240905174946,2024-09-05,city scrape,Spacious & light 3-room apartment in Rivierenbuurt,"Find in the peaceful but central Rivierenbuurt this spacious and light 55m2 apartment perfect for a couple. Including a bedroom, a separated home office and a balcony to enjoy your morning coffee.",,https://a0.muscache.com/pictures/miso/Hosting-709074003308741628/original/577b188e-ef7f-4971-acf1-8571727f0b26.jpeg,29510759,https://www.airbnb.com/users/show/29510759,Corneline,2015-03-17,"Amsterdam, Netherlands",,within a day,100%,33%,f,https://a0.muscache.com/im/pictures/user/bc7e4b15-e9c1-49cd-9d08-3486747a0cb9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bc7e4b15-e9c1-49cd-9d08-3486747a0cb9.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.34181,4.89458,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""Smoke alarm"", ""Essentials"", ""Iron"", ""Lockbox"", ""Central heating"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""Cooking basics"", ""Refrigerator"", ""Self check-in"", ""Wifi"", ""Kitchen"", ""Paid parking lot on premises""]",$175.00,4,30,4.0,4.0,30.0,30.0,4.0,30.0,,t,5,29,59,141,2024-09-05,4,3,0,2022-11-30,2024-07-09,4.75,4.75,4.75,5.0,4.75,4.5,4.75,036322ED4E40AE9296C9,f,1,1,0,0,0.19
